Long	Lat	sat_min	sat_max	pptn_min	pptn_max	npp
-75.897	0.525	24.3308	25.8062	571.2068	1199.6893	1385.8650
-76.633	0.735	24.2098	25.4082	734.9386	1159.4278	1370.1913
-77.001	0.734	21.9503	22.5483	675.3700	1107.2690	1300.6245
-77.37	0.734	11.0866	12.2077	293.2473	515.4422	889.2991
-78.105	0.733	13.5818	14.1584	111.6004	368.4322	1003.0606
-56.065	0.405	25.2332	26.6279	263.0188	980.2646	945.4439
-58.499	0.41	25.9079	27.2131	263.8107	857.2891	936.6329
-60.984	0.414	26.3915	27.5673	253.8535	906.2941	897.2464
-63.511	0.417	26.2111	27.1316	389.1360	959.9396	900.0071
-65.342	0.628	24.1178	24.7903	498.8273	906.9109	981.4842
-66.076	0.629	25.1727	25.9325	533.4945	896.1273	908.8275
-68.658	0.421	24.9008	25.9909	706.0526	1099.1118	805.6790
-71.349	0.421	25.0845	26.6582	471.6733	966.5748	878.7319
-72	0.632	25.3010	27.1071	371.9661	940.2357	976.5366
-73.858	0.421	24.6891	26.5488	313.4954	949.1086	1207.6635
-76.542	0.42	24.2462	25.5551	686.1537	1159.0490	1392.1078
-77.187	0.629	20.2266	20.7266	544.4667	914.5279	1156.0373
-77.556	0.629	10.1141	11.2155	259.6214	390.0996	988.0790
-77.924	0.629	9.2210	10.0920	165.6964	347.8727	659.4662
-78.291	0.628	13.9105	14.4330	87.8134	370.1884	991.0576
-79.119	0.418	23.2934	24.3594	223.8923	914.8806	900.1293
-56.577	0.305	25.5724	26.9348	279.7813	986.4272	940.3076
-59.023	0.308	25.7565	27.0661	276.5900	859.3719	917.9262
-61.43	0.311	26.3365	27.4293	274.3724	883.3501	896.5220
-64.055	0.313	26.1167	26.9652	442.7887	1030.7493	1001.3216
-66.072	0.367	25.7889	26.5774	500.1333	846.7686	953.0695
-66.712	0.315	25.8515	26.7247	537.2878	901.0121	904.0474
-67.364	0.525	25.7059	26.6452	575.2105	978.8509	842.1646
-69.215	0.526	24.8925	26.0623	683.0450	1072.8201	766.1622
-71.814	0.527	25.2495	26.9809	397.1431	942.8408	931.7098
-72.186	0.527	25.2771	27.0763	362.6315	922.3059	1007.3340
-74.416	0.316	24.5849	26.3878	335.2468	989.0354	1289.5325
-77.101	0.315	23.7276	24.6879	641.6782	1000.1077	1381.4377
-77.373	0.525	14.3419	15.1551	361.8836	645.5238	675.9603
-77.742	0.524	9.7873	10.8587	220.6630	353.8116	812.5768
-78.109	0.524	16.6818	17.0262	79.7518	288.2699	496.4067
-78.477	0.524	12.5573	13.0813	105.0382	422.7545	838.0047
-78.843	0.523	19.2356	20.0546	216.2250	788.5481	662.3748
-79.67	0.313	23.9644	25.3491	134.7492	985.4923	711.8761
-57.091	0.204	25.7111	27.0402	291.9809	976.5472	934.9714
-59.55	0.206	25.9966	27.2723	290.2042	858.8034	890.5890
-61.702	0.415	26.2419	27.3229	261.4378	870.5473	885.9208
-62.055	0.208	26.1996	27.2179	298.2672	860.3435	861.0861
-64.6	0.209	26.1009	26.8946	464.7974	945.1562	986.9274
-65.338	0.419	22.7811	23.4334	520.5525	972.6159	919.2364
-69.028	0.421	24.8990	26.0306	685.4417	1058.4417	769.6275
-69.213	0.263	24.8615	25.9760	682.8216	1049.7425	786.5902
-69.769	0.211	24.8819	26.0430	665.2425	1033.3125	791.9763
-72.279	0.211	25.2623	27.0042	381.6556	909.0879	1012.2366
-74.974	0.21	24.4915	26.2051	376.2847	994.7942	1326.6623
-77.56	0.42	14.0305	14.8627	286.2166	471.4892	873.1635
-77.928	0.419	14.1080	14.6469	130.2482	270.2572	572.1357
-78.295	0.419	10.3731	10.8838	111.9602	308.9186	652.4783
-78.662	0.419	15.1756	15.7828	119.7464	597.0580	998.1768
-55.192	0.101	24.2257	25.7040	273.8209	1008.3431	913.2418
-57.609	0.102	25.7972	27.0894	295.6471	954.5136	925.0249
-60.079	0.103	25.9725	27.1894	301.4552	863.0886	874.9069
-62.594	0.104	26.1405	27.0889	342.5309	886.7740	739.6701
-65.145	0.052	26.0802	26.8593	468.7241	855.9568	975.3435
-66.992	0.315	25.6178	26.5382	548.2770	935.4209	870.9856
-67.361	0.315	25.5134	26.4965	544.2996	943.7690	837.9224
-68.842	0.316	24.8592	25.9506	697.5559	1073.8217	789.6017
-70.326	-0.001	24.9508	26.1805	655.2725	987.0057	833.2772
-71.814	0.316	25.2079	26.8676	419.0487	940.5913	931.5741
-72.93	0.158	24.8727	26.6512	353.8454	902.8906	1085.8022
-75.531	0.105	24.4090	25.9757	469.3600	1043.4581	1348.8482
-77.377	0.315	21.3272	21.9297	526.2991	852.8595	1272.3605
-77.746	0.315	11.7885	12.6687	253.4033	379.4702	841.5179
-78.114	0.315	12.7271	13.1473	113.0525	286.2518	661.9373
-78.481	0.314	14.2542	14.7283	102.7790	447.7518	1143.5670
-78.848	0.314	18.6906	19.5070	158.4801	821.9964	1173.7978
-55.7	0	24.7915	26.2467	300.2207	1032.7842	913.4857
-58.129	0	25.8431	27.1107	295.3281	919.5831	918.3078
-60.61	0	26.2124	27.3563	308.3187	860.4799	866.8029
-61.695	0.208	26.1940	27.2323	287.6382	877.7681	877.2935
-63.136	-0.105	26.0204	26.8955	393.9776	915.1256	874.9422
-65.603	0	26.0621	26.8565	445.5812	782.3457	969.1088
-67.175	0.21	25.4426	26.4220	544.5072	926.1047	875.4812
