T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
172.282	159.463	165.117	157.877	156.291	179.403	179.143	190.704	154.586	156.015	133.963	165.534	147.470	155.453	167.388	164.533	191.131	195.144	240.620	131.667	141.966	195.348	128.585	181.835	138.971	199.767	181.067	145.211	223.125	151.213	177.926	123.335	181.259	182.019	198.310	174.443	147.306	186.104	166.185	151.763	175.073	184.549	180.170	168.199	125.599	155.936	182.430	171.931	166.126	211.765	187.327
178.585	159.803	166.455	159.844	156.124	178.061	183.263	196.779	149.971	160.776	143.321	168.844	144.808	155.766	167.881	168.980	193.776	202.462	266.037	143.544	138.876	208.802	126.383	186.873	137.172	200.260	192.643	148.840	252.717	141.683	186.487	130.981	184.740	199.702	201.374	180.992	142.865	192.875	161.622	156.855	175.095	187.091	203.931	171.313	121.275	150.349	183.355	179.153	163.261	235.744	183.747
148.946	137.406	193.556	134.702	156.119	153.059	156.064	164.643	147.613	148.313	90.421	157.183	137.430	148.071	143.020	150.467	162.550	220.283	174.356	123.568	121.140	199.936	117.507	160.878	139.762	168.458	214.282	126.809	178.012	177.002	168.926	85.106	154.586	141.980	167.359	162.950	122.191	177.229	195.142	133.895	212.236	167.258	134.747	142.951	114.619	149.357	155.722	157.842	133.093	167.613	197.770
99.715	92.614	193.725	86.692	132.673	104.912	105.309	108.245	124.109	113.123	21.673	121.356	109.064	118.363	95.021	108.762	107.270	209.735	59.169	82.906	82.087	164.422	88.079	110.241	120.919	111.794	206.053	81.205	79.474	187.597	125.945	23.803	100.102	64.477	107.872	120.428	81.733	136.317	202.602	87.782	221.333	122.187	46.137	90.939	87.789	126.645	104.853	112.020	80.887	78.381	185.640
209.256	225.277	379.758	220.682	281.342	237.863	239.770	240.404	277.051	250.685	103.681	264.413	247.630	257.550	225.036	251.582	241.741	400.263	132.375	201.063	223.454	305.551	224.229	242.945	267.373	246.037	391.832	236.795	154.371	386.683	259.405	108.080	227.050	142.986	243.976	255.944	216.417	277.003	402.010	223.572	422.826	264.882	111.307	229.623	215.978	275.268	239.789	249.749	203.746	156.456	361.520
382.951	426.852	556.553	428.603	464.649	433.809	438.540	437.509	474.810	439.903	304.116	454.288	438.217	443.088	422.411	453.710	442.186	579.609	320.408	388.129	439.937	464.320	424.353	434.938	454.311	443.027	562.673	473.874	321.216	581.002	437.088	305.555	420.337	314.460	446.478	440.596	427.498	457.448	588.120	431.727	596.867	458.634	283.736	442.646	404.936	464.201	440.299	444.091	404.216	326.012	539.443
460.507	511.217	638.896	514.483	545.199	517.402	522.814	521.192	562.986	521.510	385.578	535.852	521.383	524.432	504.836	539.511	527.488	665.032	398.772	465.364	529.706	537.866	508.729	515.771	536.163	527.577	641.748	569.242	391.284	671.349	513.752	385.483	501.064	386.932	532.129	519.016	516.548	537.145	676.299	517.030	680.662	542.146	360.532	530.938	483.764	548.403	525.677	525.684	487.473	399.882	623.866
480.487	536.221	641.695	537.938	565.972	536.959	547.887	550.305	576.157	550.029	427.681	569.763	549.675	552.294	534.743	558.703	546.243	648.314	418.931	505.413	540.191	547.183	533.947	551.162	559.918	533.917	636.944	574.832	416.460	654.363	548.489	420.373	532.243	418.472	541.060	552.497	528.439	557.613	669.411	547.092	671.638	554.739	396.705	546.387	525.611	561.527	545.980	556.079	512.166	422.655	623.431
224.012	275.910	354.150	272.277	305.257	270.008	289.167	299.024	302.257	300.748	197.967	328.782	301.417	304.193	283.410	288.935	276.659	328.492	154.995	272.968	250.836	274.761	275.375	310.587	303.955	244.257	335.495	268.216	164.928	330.124	311.549	177.944	283.755	178.480	253.201	310.331	244.958	297.508	365.506	291.768	366.334	276.421	173.008	265.942	296.832	288.720	279.231	305.775	251.293	170.508	333.220
218.401	246.707	268.025	244.005	258.684	235.368	254.924	265.943	254.679	268.743	233.599	286.935	267.245	267.551	254.549	250.583	238.476	237.172	175.158	267.228	219.167	234.760	247.551	274.441	263.002	204.908	251.466	219.900	191.345	229.249	277.150	209.783	253.591	205.328	212.428	273.416	216.729	255.339	264.888	261.348	261.426	229.575	217.516	230.773	279.711	242.881	242.606	268.652	232.276	196.596	252.496
432.867	467.107	440.179	471.471	458.141	435.356	473.477	493.199	471.002	498.208	525.778	514.131	491.663	484.356	474.812	470.397	439.296	394.488	385.558	519.632	437.134	424.110	472.371	492.114	474.866	380.223	417.889	428.721	413.497	367.539	495.348	472.115	463.925	437.415	394.735	485.819	427.874	457.578	428.574	495.469	407.731	410.903	481.952	444.910	530.661	440.377	449.606	488.037	453.118	431.864	420.400
461.362	498.195	464.621	504.161	485.356	463.686	503.921	524.575	502.372	529.107	566.138	545.257	522.939	513.848	505.843	501.383	467.537	416.689	413.049	552.008	469.685	449.002	504.845	521.721	503.871	405.564	440.530	460.119	440.023	389.238	524.130	507.888	493.029	466.317	421.238	513.541	458.952	484.847	452.974	528.483	428.406	436.534	514.843	476.241	565.390	468.609	478.872	517.744	484.853	461.434	445.583
