T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
21.441	21.112	21.200	20.868	20.507	20.134	20.426	21.002	21.659	21.762	22.364	21.843	21.243	20.996	20.335	20.729	20.661	21.603	21.858	21.594	20.618	21.384	21.329	20.772	20.859	19.876	21.850	21.060	21.367	21.054	21.739	21.384	20.709	20.859	20.185	20.240	20.037	21.510	21.595	21.666	21.101	20.924	21.622	20.953	20.595	20.677	20.496	20.543	20.036	21.391	21.640
19.535	19.150	19.346	18.932	18.524	18.175	18.456	19.033	19.705	19.719	20.340	19.776	19.223	18.957	18.382	18.773	18.709	19.772	19.858	19.519	18.667	19.443	19.296	18.808	18.855	17.906	19.956	19.119	19.276	19.232	19.617	19.374	18.703	18.820	18.225	18.248	18.075	19.469	19.800	19.717	19.277	18.880	19.552	19.017	18.620	18.708	18.548	18.575	18.024	19.255	19.806
25.019	24.619	24.723	24.388	23.718	23.612	23.686	24.160	25.148	25.017	25.848	24.976	24.748	24.394	23.759	23.908	24.178	25.075	25.606	24.771	24.082	25.175	24.624	24.135	24.092	23.328	25.586	24.289	24.763	24.676	25.302	24.518	24.147	24.103	23.601	23.654	23.118	25.196	25.100	25.104	24.583	24.600	25.011	24.246	23.926	24.131	23.976	23.696	23.145	24.728	25.419
25.707	26.229	24.874	25.671	25.251	24.962	25.024	25.529	26.635	27.154	27.753	26.305	26.749	26.478	25.080	25.188	25.571	25.006	27.057	27.050	25.411	26.194	26.481	25.462	25.797	24.767	26.152	25.427	27.252	24.423	27.365	25.965	25.696	25.997	24.859	25.278	24.321	27.336	24.674	26.626	24.441	26.840	27.155	25.364	25.577	25.633	25.246	25.060	24.476	27.196	25.369
27.518	28.776	26.267	27.954	27.738	27.303	27.358	27.889	29.079	30.123	30.523	28.633	29.598	29.388	27.399	27.477	27.945	26.224	29.463	30.130	27.726	28.275	29.208	27.790	28.418	27.178	27.877	27.587	30.422	25.478	30.174	28.371	28.198	28.770	27.122	27.847	26.543	30.212	25.605	29.104	25.600	29.878	30.127	27.515	28.163	28.091	27.522	27.422	26.803	30.425	26.596
27.464	28.926	26.084	28.033	27.867	27.393	27.442	27.979	29.206	30.388	30.749	28.715	29.843	29.498	27.481	27.549	28.045	25.991	29.589	30.427	27.820	28.287	29.427	27.871	28.589	27.288	27.784	27.641	30.698	25.220	30.345	28.493	28.329	28.980	27.195	27.988	26.601	30.349	25.297	29.232	25.351	30.090	30.394	27.560	28.305	28.219	27.595	27.507	26.886	30.764	26.374
26.905	28.587	25.236	27.780	27.779	27.248	27.429	27.970	28.982	30.300	30.898	28.497	29.643	29.199	27.317	27.460	27.875	24.996	29.591	30.720	27.651	27.808	29.758	27.746	28.537	27.196	27.089	27.483	30.927	24.176	30.201	28.658	27.882	29.179	27.120	27.973	26.586	30.081	24.153	28.995	24.342	29.663	30.771	27.398	27.730	28.072	27.422	27.433	27.254	31.352	25.403
28.200	29.959	26.252	29.354	29.326	28.946	29.269	29.811	30.425	32.154	32.877	29.976	31.231	30.919	28.795	29.221	29.520	25.868	31.441	32.778	29.325	29.166	31.706	29.358	30.176	28.945	28.244	29.182	33.166	25.010	32.068	30.682	29.330	31.210	28.898	29.756	28.431	31.826	24.889	30.355	25.203	31.241	32.978	29.093	29.182	29.495	29.094	29.205	29.322	33.764	26.301
26.389	27.818	24.777	27.131	27.251	26.708	27.087	27.609	28.273	29.876	30.352	27.988	28.964	28.670	26.753	27.092	27.251	24.549	29.120	30.427	27.087	27.152	29.409	27.267	28.048	26.673	26.493	27.105	30.691	23.748	29.740	28.518	27.249	28.803	26.710	27.452	26.370	29.507	23.741	28.216	23.909	28.887	30.381	26.994	27.110	27.385	26.884	27.066	27.243	31.098	24.864
26.272	26.939	25.215	26.301	26.510	25.839	26.227	26.714	27.329	28.662	28.991	27.346	27.855	27.772	25.954	26.331	26.318	25.254	28.099	28.901	26.228	26.737	28.066	26.431	27.160	25.738	26.508	26.443	28.935	24.551	28.677	27.637	26.599	27.591	25.879	26.385	25.674	28.465	24.727	27.316	24.656	27.898	28.834	26.310	26.547	26.527	26.059	26.282	26.347	29.380	25.400
