T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
737.367	1004.186	678.106	727.284	679.007	650.538	573.684	624.470	833.839	1125.858	993.930	679.579	619.341	759.375	704.605	565.886	824.509	1213.059	896.813	900.609	656.919	666.933	566.954	613.127	677.464	630.743	1085.236	726.657	789.237	893.787	972.212	524.762	669.511	658.590	606.925	515.829	526.753	1011.007	1028.575	737.608	915.916	633.752	809.382	646.828	554.936	610.701	761.887	534.187	521.566	1115.977	969.311
727.485	990.766	668.642	714.311	661.966	633.487	558.025	608.624	823.615	1109.867	981.256	672.015	608.468	744.366	688.366	551.352	808.264	1196.501	886.852	890.408	647.296	656.901	557.166	597.805	661.741	611.635	1072.555	715.508	777.026	884.085	958.116	514.968	655.044	641.751	590.524	498.982	511.098	996.573	1016.111	730.038	907.048	619.540	799.168	634.626	539.389	593.758	745.615	518.219	506.506	1102.996	956.473
560.097	749.664	606.333	701.701	674.018	618.838	532.602	566.827	614.720	1112.615	932.562	538.967	584.991	734.292	686.262	540.450	779.661	1180.931	645.309	651.501	587.512	568.464	544.792	574.571	672.887	652.022	894.558	676.598	620.221	704.787	701.979	507.643	636.530	665.141	605.848	448.923	530.802	689.528	1004.589	605.791	681.662	591.485	622.099	619.872	524.888	624.585	736.318	504.388	494.489	853.591	967.058
340.517	441.001	511.978	664.933	669.350	580.576	482.857	496.428	345.361	1095.685	854.670	360.219	537.749	700.677	662.455	509.181	721.772	1138.978	336.543	342.169	497.289	440.024	514.280	525.959	667.310	681.404	657.608	611.172	409.341	472.178	375.534	483.816	592.324	674.881	605.502	369.596	537.622	299.785	970.709	435.208	389.276	538.109	387.440	583.361	488.355	643.338	702.642	469.912	461.246	530.751	961.333
298.744	304.702	539.373	711.105	722.064	642.993	539.159	556.325	245.739	1125.090	880.452	316.486	604.867	736.179	719.899	562.813	752.243	1159.229	203.278	211.010	565.399	427.826	574.671	557.697	722.671	780.343	557.553	636.417	361.844	385.314	220.624	530.191	619.349	725.203	676.398	394.428	629.699	118.994	1036.694	381.826	280.820	627.212	328.473	634.617	524.108	734.686	756.761	513.492	539.570	370.491	1032.987
277.071	185.962	520.349	663.233	669.940	632.177	542.134	571.710	171.025	983.599	800.632	268.083	613.050	667.588	681.722	549.875	683.571	1006.948	104.191	109.012	603.111	380.853	572.574	518.697	674.767	771.798	413.095	585.772	313.251	291.204	96.100	510.962	560.617	662.872	656.287	387.409	646.946	0.281	970.388	302.053	194.325	667.813	279.752	608.853	492.372	727.913	711.511	495.390	567.421	207.355	964.348
231.979	128.130	452.699	572.346	577.633	553.453	476.899	506.703	123.968	839.085	691.116	219.138	541.155	570.160	592.606	480.845	583.645	857.150	59.841	61.880	541.617	316.911	506.192	445.029	583.161	678.508	326.814	507.056	257.630	228.847	47.138	445.923	475.312	568.110	573.787	334.454	577.048	0.000	847.673	240.557	141.723	597.151	228.738	532.186	421.917	640.407	616.283	430.062	506.721	135.327	839.458
300.517	172.796	484.533	545.762	526.135	523.506	491.349	542.322	205.082	754.035	650.861	323.681	540.902	527.089	525.987	503.432	538.874	744.612	117.536	172.537	535.617	389.417	491.054	434.764	542.854	570.713	343.931	500.889	326.559	257.798	124.515	468.568	448.328	516.841	516.773	383.597	562.468	56.516	769.796	338.410	241.154	552.682	309.262	511.294	430.976	559.959	554.656	442.461	516.201	189.061	773.565
458.163	289.889	647.016	656.308	601.462	615.543	628.294	716.845	364.890	869.824	782.784	540.784	670.600	615.388	580.532	658.322	627.310	825.685	232.235	367.257	652.521	579.491	595.509	534.497	635.870	576.408	479.534	631.151	497.686	372.662	272.256	617.236	532.252	591.422	576.293	536.193	681.818	205.811	884.417	556.594	435.957	621.704	491.635	618.497	550.722	597.536	623.127	568.792	649.265	330.594	902.075
682.513	465.611	908.223	887.189	790.240	816.503	862.588	996.812	583.063	1150.645	1057.922	828.269	916.062	819.684	752.887	914.153	834.799	1072.624	398.256	604.552	885.700	848.670	806.949	730.417	845.353	713.940	702.514	873.922	734.844	560.183	465.709	864.228	717.185	778.048	750.236	762.844	912.320	389.182	1164.090	850.752	682.766	812.646	740.633	839.345	762.182	762.099	814.769	785.669	882.270	532.063	1194.861
