T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
25.254	25.097	25.595	25.325	24.372	24.611	24.457	23.886	25.867	25.147	26.062	24.718	25.135	24.385	24.559	25.446	24.639	25.907	25.523	24.734	25.830	24.619	25.089	24.106	24.609	24.811	25.481	26.637	23.631	26.254	24.168	26.174	23.993	24.049	24.770	24.249	24.562	24.786	26.634	25.311	25.556	24.927	24.326	25.883	24.363	24.990	24.494	24.473	23.772	24.561	25.955
25.580	25.954	25.850	26.199	25.101	25.494	25.216	24.464	26.732	25.785	26.593	25.304	25.913	25.076	25.362	26.228	25.467	26.113	26.013	25.114	26.930	24.763	25.893	24.754	25.279	25.824	25.552	27.774	23.860	26.872	24.631	26.820	24.706	24.353	25.727	24.872	25.508	25.450	26.938	26.071	25.774	25.815	24.515	26.868	25.054	25.886	25.293	25.155	24.578	24.768	26.346
26.848	27.174	25.837	27.345	26.308	26.688	26.968	26.344	27.884	27.521	29.044	26.737	27.481	26.593	26.474	27.743	26.860	26.190	28.252	27.322	27.881	26.119	27.776	26.258	26.673	27.229	26.324	28.731	26.473	26.738	26.690	28.815	26.053	26.484	27.132	26.460	27.113	27.149	26.784	27.471	25.541	27.300	27.094	27.970	26.121	26.954	26.673	26.828	26.180	27.574	26.507
29.298	29.628	26.984	29.722	28.741	29.119	29.950	29.450	30.251	30.472	32.722	29.405	30.276	29.332	28.821	30.486	29.481	27.386	31.699	30.760	30.063	28.642	30.905	28.994	29.295	29.852	28.255	30.928	30.294	27.751	30.068	32.053	28.638	29.811	29.768	29.287	29.939	30.096	27.795	30.105	26.452	30.012	30.889	30.311	28.428	29.243	29.290	29.723	28.997	31.553	27.826
29.095	29.064	25.935	29.008	28.255	28.520	29.648	29.277	29.685	30.660	32.966	28.987	30.055	29.586	28.158	30.055	28.963	26.575	31.847	31.039	29.257	28.467	30.681	28.584	28.949	29.357	27.745	30.055	31.183	26.566	30.557	32.118	28.350	30.137	29.252	28.954	29.553	30.456	26.681	29.544	25.345	30.075	31.382	29.562	28.201	28.641	28.792	29.429	28.573	32.321	26.837
30.102	29.877	26.276	29.394	29.206	29.049	30.359	30.107	30.337	31.958	34.147	29.875	31.094	30.752	28.719	30.683	29.515	27.183	32.961	32.542	29.595	29.469	31.537	29.260	30.032	29.928	28.517	30.303	32.871	26.755	31.870	33.245	29.237	31.540	29.804	29.695	30.199	31.649	26.993	30.279	25.684	31.105	32.848	29.922	29.089	29.397	29.385	30.175	29.176	34.045	27.185
30.049	29.718	25.973	29.218	29.093	28.933	30.293	30.058	30.171	31.914	34.198	29.754	30.980	30.672	28.567	30.581	29.386	26.898	32.984	32.567	29.429	29.363	31.491	29.148	29.941	29.821	28.317	30.122	32.903	26.416	31.834	33.321	29.110	31.620	29.711	29.616	30.137	31.567	26.691	30.123	25.357	30.989	32.952	29.764	28.962	29.242	29.282	30.101	29.129	34.171	26.891
29.067	28.327	25.449	27.879	27.754	27.587	28.807	28.715	28.823	30.458	32.718	28.464	29.524	29.234	27.235	29.121	28.054	26.451	31.659	31.050	28.027	28.558	29.997	27.855	28.573	28.363	27.671	28.681	31.523	25.881	30.339	31.819	27.750	30.357	28.242	28.273	28.602	30.090	26.222	28.725	24.963	29.472	31.665	28.335	27.608	27.887	27.958	28.649	27.766	32.978	26.350
28.867	27.563	26.227	27.333	26.937	27.007	27.904	28.003	28.243	29.306	31.629	27.825	28.492	28.029	26.684	28.275	27.460	27.183	30.867	29.883	27.422	28.599	29.023	27.296	27.682	27.561	28.040	28.052	30.595	26.707	28.980	30.778	26.859	29.533	27.458	27.585	27.673	28.787	27.129	28.000	25.943	28.175	30.782	27.676	26.713	27.184	27.389	27.765	26.965	32.092	27.109
27.262	25.902	25.706	25.693	25.209	25.263	25.836	26.067	26.507	27.253	29.116	26.167	26.596	26.000	25.072	26.289	25.690	26.539	28.589	27.584	25.737	27.156	26.858	25.546	25.875	25.580	27.019	26.323	28.129	26.160	26.673	28.341	25.223	27.267	25.526	25.693	25.613	26.767	26.699	26.315	25.604	26.179	28.379	25.934	25.091	25.459	25.624	25.732	25.112	29.475	26.505
17.713	16.835	17.058	16.655	16.208	16.044	16.386	16.701	17.361	17.679	18.910	17.318	17.168	16.778	16.066	16.934	16.428	17.655	18.433	17.715	16.700	17.574	17.261	16.412	16.672	16.165	17.874	17.212	17.772	17.366	17.481	18.249	16.294	17.214	16.206	16.304	16.236	17.344	18.050	17.316	17.050	16.857	18.101	16.851	16.247	16.385	16.342	16.336	15.891	18.653	17.690
