T500	T490	T480	T470	T460	T450	T440	T430	T420	T410	T400	T390	T380	T370	T360	T350	T340	T330	T320	T310	T300	T290	T280	T270	T260	T250	T240	T230	T220	T210	T200	T190	T180	T170	T160	T150	T140	T130	T120	T110	T100	T90	T80	T70	T60	T50	T40	T30	T20	T10	T0
878.833	810.229	900.287	831.444	855.121	848.093	854.534	851.886	852.592	849.934	893.324	853.907	856.509	854.275	845.255	851.769	834.606	909.468	871.979	869.666	832.649	900.249	872.321	851.359	854.148	841.650	903.959	846.707	888.939	889.573	813.556	867.870	826.954	893.188	853.685	848.906	865.407	814.633	880.584	827.525	898.801	827.695	886.963	843.669	839.520	852.905	848.864	858.114	845.554	895.153	889.654
878.216	785.680	896.972	809.000	839.689	831.741	845.503	843.506	846.712	839.501	903.969	846.072	849.331	840.981	826.020	847.227	816.641	895.018	870.720	861.380	807.573	897.248	864.171	837.656	840.002	823.769	899.103	823.463	881.232	870.617	782.245	866.067	801.071	894.537	837.477	834.652	852.430	786.439	863.584	806.294	886.966	810.238	884.615	825.328	816.944	838.832	835.649	852.719	828.368	898.717	871.117
731.435	688.289	787.401	729.737	711.454	721.953	720.403	705.409	727.270	649.617	745.517	699.475	713.659	689.429	725.541	726.148	704.057	869.894	724.849	667.615	763.233	681.756	774.234	711.171	716.218	750.671	725.198	779.625	625.424	872.555	624.531	733.823	710.505	688.055	767.043	681.176	783.983	629.178	871.997	712.429	837.540	725.876	653.226	763.234	697.812	734.450	715.484	713.929	752.170	623.353	871.159
637.339	643.581	729.897	705.316	634.349	664.964	647.666	618.284	660.035	506.540	641.818	603.473	629.626	587.389	678.633	657.414	644.399	896.169	634.298	521.959	775.711	513.903	740.174	637.725	644.038	734.005	600.164	793.004	416.518	930.966	516.478	655.626	675.075	529.752	753.527	577.658	772.727	521.515	936.267	673.242	840.206	696.719	471.589	757.440	630.307	682.781	647.813	626.329	731.848	393.764	927.086
587.247	653.430	701.660	698.888	634.205	654.391	623.397	596.492	637.937	525.760	564.795	591.185	615.993	591.789	671.310	627.807	641.713	888.271	563.727	520.172	759.762	503.302	693.944	621.008	639.496	724.505	591.330	770.531	406.379	927.715	553.102	593.433	675.839	495.230	729.292	569.531	735.105	564.372	913.620	671.959	832.365	690.828	450.185	729.782	631.291	669.766	631.359	600.680	708.719	369.165	917.044
700.076	828.906	829.104	846.389	807.805	807.265	763.112	743.703	778.205	747.269	646.411	754.588	774.151	779.785	825.450	758.410	806.425	1009.084	649.407	715.462	881.595	694.549	791.667	772.136	805.498	866.695	768.945	883.411	614.029	1048.120	787.597	684.369	838.047	650.576	850.479	741.104	837.258	807.184	1003.733	831.996	963.789	841.412	634.653	842.248	802.932	817.102	779.926	743.100	833.015	563.875	1028.029
806.385	955.460	941.011	964.887	930.431	924.276	876.521	859.634	892.386	886.166	745.588	876.693	893.357	906.703	944.081	869.178	928.990	1119.451	750.092	845.633	991.268	824.472	893.675	890.623	926.357	982.878	896.292	991.312	747.467	1159.974	932.780	783.560	961.650	766.503	960.275	863.661	940.209	954.988	1107.163	956.873	1076.760	960.555	763.695	949.374	926.400	932.208	896.405	856.916	942.476	693.316	1138.964
825.004	1045.017	950.622	1047.329	1011.223	993.713	942.714	927.857	967.767	973.272	784.316	957.894	970.574	989.420	1021.196	930.799	1001.666	1115.763	778.145	917.309	1067.478	859.803	952.048	961.525	1006.023	1044.956	927.296	1059.854	810.990	1148.496	1027.832	813.854	1038.058	804.475	1013.339	942.389	1000.022	1054.503	1090.683	1040.559	1078.181	1035.292	811.998	1016.350	1014.029	1006.318	960.311	921.359	1008.598	741.399	1118.688
801.956	1134.759	908.403	1133.640	1079.676	1049.000	996.995	983.993	1039.918	1041.054	812.381	1034.913	1039.585	1056.709	1092.331	979.839	1062.441	1052.354	785.601	963.672	1148.730	842.092	1007.629	1023.497	1075.768	1094.002	908.749	1131.471	837.382	1073.069	1109.863	818.544	1109.469	797.927	1052.547	1008.703	1056.030	1142.228	1017.351	1129.514	1019.491	1105.785	822.175	1084.148	1098.212	1071.681	1008.143	970.905	1068.782	743.453	1033.551
796.342	1176.138	866.990	1172.561	1107.813	1066.279	1027.261	1021.071	1089.612	1092.142	865.498	1091.492	1083.370	1091.699	1118.665	1011.373	1086.794	967.092	813.598	1003.446	1176.307	838.595	1039.332	1056.509	1107.992	1095.943	896.961	1156.719	875.384	969.790	1154.706	832.220	1132.178	805.812	1053.908	1048.660	1074.045	1187.872	930.852	1178.004	941.042	1131.529	849.800	1113.667	1138.808	1100.307	1028.743	1001.736	1084.611	779.127	932.599
